pathway,n_genes,n_edges,mean_hi,mean_lo,d,cohen_d,d_ci_lo,d_ci_hi,mw_p,perm_p,perm_q,n_null_sets,null_median_abs_d,null_p95,null_pct,n_null_block_sets,block_null_median_abs_d,block_null_p95,block_null_pct
Chemokine signaling pathway,16,240,0.0625538006424903,0.0625447928905487,9.007751941680908e-06,0.2305873255032293,0.1112408472028992,0.3499338038035594,0.0003395363864362,0.0009990009990009,0.0013933434986066,14,0.1449603658036538,0.2809944349095953,0.3333333333333333,200,0.15243836551531953,0.38383248640322637,0.34328358208955223
ECM-receptor interaction,50,2450,0.0200059544295072,0.0200062189251184,-2.644956111907959e-07,-0.0697378350894497,-0.1887258235291852,0.0492501533502857,0.5962526097908106,0.2467532467532467,0.2843026538678713,200,0.1176662549221861,0.3626958639664626,0.736318407960199,200,0.1624944312082098,0.42326704182205394,0.7960199004975125
Focal adhesion,25,600,0.0400265380740165,0.0400227457284927,3.792345523834229e-06,0.2528019463886853,0.1333759247289456,0.372227968048425,2.604522122363011e-06,0.0009990009990009,0.0013933434986066,200,0.1371286702258992,0.3568458087793744,0.1691542288557214,200,0.16069481755658593,0.466734227599612,0.23383084577114427
Cell adhesion molecules,94,8742,0.010640044696629,0.0106399813666939,6.332993507385254e-08,0.0637437300963898,-0.0552383116479643,0.1827257718407439,0.1984813699852227,0.2667332667332667,0.3007843220609178,200,0.1280108855762862,0.3751188588370805,0.7412935323383084,200,0.13564081493553062,0.38465452681781603,0.8208955223880597
Regulation of actin cytoskeleton,63,3906,0.015877740457654,0.0158764366060495,1.30385160446167e-06,0.6109179257827219,0.4892230111388618,0.7326128404265819,1.3791694065095598e-22,0.0009990009990009,0.0013933434986066,200,0.1249284566502792,0.3261401961293407,0.0049751243781094,200,0.15637802698543468,0.6109179257827219,0.06965174129353234
Glycolysis / Gluconeogenesis,30,870,0.033353753387928,0.0333502106368541,3.5427510738372803e-06,0.3687229797053182,0.2487646324761368,0.4886813269344995,1.3604749243834416e-08,0.0009990009990009,0.0013933434986066,200,0.1186156327411653,0.3289356630255698,0.0348258706467661,200,0.14118928102953354,0.36903856012787545,0.08955223880597014
Oxidative phosphorylation,105,10920,0.0095253940671682,0.009525179862976,2.1420419216156009e-07,0.2533812886429391,0.1339530954704953,0.3728094818153828,3.274987281960513e-07,0.0009990009990009,0.0013933434986066,2,0.1574498616596314,0.2120740104402849,0.3333333333333333,200,0.18178987419742174,0.3734773531433264,0.35323383084577115
DNA replication,29,812,0.0345030315220356,0.0344957560300827,7.275491952896118e-06,0.6345159765160924,0.5126076757754268,0.756424277256758,4.3882263531164595e-24,0.0009990009990009,0.0013933434986066,200,0.1429067114868216,0.3687023033431346,0.0099502487562189,200,0.15905953133633366,0.4150183999291271,0.04477611940298507
Mismatch repair,3,6,0.3349352180957794,0.3344720900058746,0.0004631280899047,0.2847780979811847,0.1652248545514419,0.4043313414109274,8.690006069404e-05,0.0009990009990009,0.0013933434986066,0,,,,200,0.12783994400117285,0.35845522527506535,0.14427860696517414
Base excision repair,16,240,0.0625652968883514,0.0625521019101142,1.31949782371521e-05,0.3269539143819546,0.2072099758917875,0.4466978528721217,7.226985401888776e-08,0.0009990009990009,0.0013933434986066,12,0.0848651087393892,0.4092624631443568,0.1538461538461538,200,0.161701201867414,0.3671487606300451,0.11442786069651742
Homologous recombination,25,600,0.0400286652147769,0.0400190204381942,9.644776582717896e-06,0.6053657607303043,0.4837199294975455,0.7270115919630632,2.2963430348447758e-24,0.0009990009990009,0.0013933434986066,200,0.1243421514022279,0.3338465804198284,0.0049751243781094,200,0.15791269928607432,0.5328619216818027,0.03980099502487562
