pathway,k,n_edges,mean_abs_d,topdec_mean_abs_d,concentration,max_abs_d,null_median_mean_abs_d,pct_mean,null_median_topdec,pct_topdec,null_median_conc,pct_conc,null_median_max,pct_max
Oxidative phosphorylation,105,10920,4.956025345380084e-05,0.00014703936922621702,0.2966880897073789,0.0003514010459184,4.451031551010274e-05,74.0,0.00012268425918934066,75.5,0.2644768109106326,85.5,0.0002218568697571,88.5
Cell adhesion molecules,94,8742,6.95732470752528e-05,0.00015750359105207222,0.22659245147122786,0.0002388125285506,4.878020608847032e-05,79.0,0.00013081618824170569,73.0,0.2562475731128078,9.5,0.0002415711060166,47.5
Antigen processing and presentation,35,1190,0.00012804105752653442,0.0002845088254753748,0.22220124620293377,0.0003639962524175,7.681426545212462e-05,80.0,0.00019832045434648235,73.0,0.25630066540095053,6.0,0.00029981974512335,64.5
Natural killer cell mediated cytotoxicity,35,1190,9.916380141711123e-05,0.0002632830918085168,0.265503226022037,0.0004184562712907,7.384627110503414e-05,66.0,0.0001908770347592727,66.5,0.2524485998993714,65.0,0.00029562646523115,75.5
JAK-STAT signaling pathway,91,8190,6.036769782939098e-05,0.0001544168421381785,0.25579382300545206,0.0002725254744291,5.1024239919664794e-05,54.0,0.00015151716304781184,63.5,0.25579382300545206,52.0,0.0002451501786708,63.0
Chemical carcinogenesis,120,14280,3.656722867407133e-05,0.00012132031086526319,0.3317733261839654,0.0003157798200845,4.139888170109663e-05,41.0,0.00012132031086526319,63.0,0.2625234273001397,100.0,0.0002218568697571,83.0
Ras signaling pathway,85,7140,6.151870753959475e-05,0.00015819284031866947,0.2571459099930752,0.0002902615815401,5.9451459820898016e-05,64.0,0.00015644594786960126,62.0,0.25934195785664815,41.0,0.0002902615815401,55.00000000000001
Transcriptional misregulation in cancer,123,15006,4.7894890638472755e-05,0.00012500266880189148,0.26106331563095875,0.0002050912007689,4.7894890638472755e-05,60.0,0.00012500266880189148,60.0,0.2495654202129518,95.0,0.0002050912007689,60.0
Autophagy,90,8010,5.572359327612127e-05,0.00015217572864553933,0.27309030107135934,0.0002346253022551,5.572359327612127e-05,54.50000000000001,0.00015217572864553933,52.0,0.2649343180524697,62.5,0.0002451501786708,38.5
Necroptosis,122,14762,4.139841237551595e-05,0.00011901086802888818,0.28763268200971287,0.0002218568697571,4.4291092406122874e-05,50.0,0.00012066698624933007,50.0,0.260200800606116,100.0,0.0002218568697571,75.5
Cytokine-cytokine receptor interaction,112,12432,4.456979699044096e-05,0.00011807485780048792,0.26509171462639597,0.0002201795578002,4.128451499412782e-05,71.0,0.00011991928526199832,43.0,0.26509171462639597,60.0,0.0002201795578002,50.5
