pathway,drug,n,rho,P,q
Necroptosis,Talazoparib,49,0.20591836734693875,0.1557586361893716,0.9158113520080801
Necroptosis,Niraparib,49,0.2910204081632653,0.04248919393380915,0.7945052062349137
Necroptosis,Olaparib,49,0.21795918367346936,0.132457574072242,0.9158113520080801
Necroptosis,Ribociclib,49,0.016122448979591836,0.9124484103626285,0.9797021202123788
Necroptosis,Trametinib,49,0.15959183673469385,0.2733667213617806,0.9323688896375848
Necroptosis,Erlotinib,49,-0.038367346938775505,0.7935261244294718,0.9621202040318297
Necroptosis,Selumetinib,49,0.03989795918367346,0.7854803640208832,0.9621202040318297
Central carbon metabolism in cancer,MK-1775,49,0.2396938775510204,0.09715145229790338,0.9048963474017473
Central carbon metabolism in cancer,Paclitaxel,49,-0.0489795918367347,0.7382234539383558,0.9621202040318297
Central carbon metabolism in cancer,Gefitinib,49,-0.08755102040816326,0.549715466719026,0.9562805840174761
Central carbon metabolism in cancer,Gemcitabine,49,0.08244897959183672,0.5732959158316797,0.9605053886154118
Central carbon metabolism in cancer,5-Fluorouracil,49,0.004387755102040816,0.9761296513858635,0.9881973232016997
Central carbon metabolism in cancer,Palbociclib,49,0.015306122448979591,0.9168654283782078,0.9797021202123788
Central carbon metabolism in cancer,Docetaxel,49,0.04112244897959182,0.7790596406087476,0.9621202040318297
Central carbon metabolism in cancer,Cisplatin,49,-0.2451020408163265,0.08961679572188534,0.8975802883155288
Central carbon metabolism in cancer,AZD7762,49,0.14459183673469386,0.3215705825777719,0.9323688896375848
Central carbon metabolism in cancer,AZD6738,49,0.028367346938775507,0.8465798500012808,0.9706088803804463
Central carbon metabolism in cancer,Talazoparib,49,-0.24020408163265303,0.09642036199086698,0.9048963474017473
Central carbon metabolism in cancer,Niraparib,49,-0.15387755102040815,0.2911330696511487,0.9323688896375848
Central carbon metabolism in cancer,Olaparib,49,-0.12785714285714284,0.3813038963445802,0.9323688896375848
Central carbon metabolism in cancer,Ribociclib,49,-0.11153061224489795,0.44549627683197557,0.9323688896375848
Central carbon metabolism in cancer,Trametinib,49,0.0486734693877551,0.739801975559163,0.9621202040318297
Central carbon metabolism in cancer,Erlotinib,49,-0.05142857142857143,0.7256342025222136,0.9621202040318297
Central carbon metabolism in cancer,Selumetinib,49,-0.03948979591836734,0.7876237704189392,0.9621202040318297
p53 signaling pathway,MK-1775,49,-0.15836734693877547,0.2771120218991621,0.9323688896375848
p53 signaling pathway,Paclitaxel,49,-0.26122448979591834,0.06983346880315436,0.8945005987034255
p53 signaling pathway,Gefitinib,49,0.14653061224489797,0.31505520467251147,0.9323688896375848
p53 signaling pathway,Gemcitabine,49,0.08959183673469386,0.5404146501944502,0.9542104089182202
p53 signaling pathway,5-Fluorouracil,49,0.049081632653061216,0.737697516937967,0.9621202040318297
p53 signaling pathway,Palbociclib,49,0.18969387755102038,0.1917335368169614,0.9159020465389225
p53 signaling pathway,Docetaxel,49,-0.29683673469387756,0.03834446174298863,0.7945052062349137
p53 signaling pathway,Cisplatin,49,0.06346938775510204,0.6648305067034976,0.9605053886154118
p53 signaling pathway,AZD7762,49,-0.18499999999999997,0.20316454707696693,0.9166331273697411
p53 signaling pathway,AZD6738,49,-0.18387755102040815,0.2059677395990793,0.9166331273697411
