pathway,drug,n,rho,P,q
DNA replication,Talazoparib,805,0.11081885396009028,0.001638141702122305,0.006017495398248266
DNA replication,Niraparib,805,0.11773405677866543,0.0008173015885723312,0.003264957377069141
DNA replication,Olaparib,805,0.13167950301357598,0.0001792477764386491,0.000956424266982865
DNA replication,Ribociclib,805,0.09715982453835961,0.005799354526684744,0.016822730789708522
DNA replication,Trametinib,805,0.023007176407775096,0.5145021016320461,0.619606320087357
DNA replication,Erlotinib,805,0.05021458832557616,0.15462061877463412,0.24517933259058036
DNA replication,Selumetinib,805,0.07430656467519836,0.03503935716764054,0.07555684392196234
Regulation of actin cytoskeleton,MK-1775,805,0.0070058136793185255,0.8426803555072938,0.8876071179767028
Regulation of actin cytoskeleton,Paclitaxel,805,-0.016162318349837973,0.6470364497691885,0.7254350380080933
Regulation of actin cytoskeleton,Gefitinib,805,-0.12076012367611873,0.0005958029098442572,0.002561952512330306
Regulation of actin cytoskeleton,Gemcitabine,805,-0.00828607452081945,0.8144139995527795,0.8628067154682345
Regulation of actin cytoskeleton,5-Fluorouracil,805,-0.018756080117575583,0.5951574767759362,0.6851579547545306
Regulation of actin cytoskeleton,Palbociclib,805,-0.031569891427818596,0.37102846356020935,0.4935529432291388
Regulation of actin cytoskeleton,Docetaxel,805,0.011935065275561827,0.7352774707755374,0.7951003419185174
Regulation of actin cytoskeleton,Cisplatin,805,-0.022461256898467757,0.5245336536041802,0.6255042427155886
Regulation of actin cytoskeleton,AZD7762,805,-0.005697350523709611,0.8717796846923382,0.9039304248370202
Regulation of actin cytoskeleton,AZD6738,805,4.5385942687652934e-05,0.9989741499944911,0.9998596150145824
Regulation of actin cytoskeleton,Talazoparib,805,0.03814563113719505,0.2796973680574608,0.3985551190058555
Regulation of actin cytoskeleton,Niraparib,805,0.0740368484167023,0.03570853037489549,0.07654819854559708
Regulation of actin cytoskeleton,Olaparib,805,0.06297733164242134,0.07412806598469301,0.13929978466532286
Regulation of actin cytoskeleton,Ribociclib,805,0.03542212952315315,0.31549023037474083,0.44096244436698956
Regulation of actin cytoskeleton,Trametinib,805,-0.12065320332051194,0.0006025689125255249,0.0025758940061763667
Regulation of actin cytoskeleton,Erlotinib,805,-0.0807799619107735,0.021898917407010755,0.050981237657722486
Regulation of actin cytoskeleton,Selumetinib,805,-0.11049349218950022,0.0016910592263383493,0.006158442817581149
Ferroptosis,MK-1775,805,0.08370541141678442,0.0175293215996751,0.0424302453290149
Ferroptosis,Paclitaxel,805,0.022573859123230077,0.5224563734343923,0.6255042427155886
Ferroptosis,Gefitinib,805,-0.087247838301825,0.013274523075012758,0.03404798725555904
Ferroptosis,Gemcitabine,805,0.05251158169665213,0.1365932629978744,0.22543575531991003
Ferroptosis,5-Fluorouracil,805,-0.005823777863299749,0.8689597994958898,0.9035698626337061
Ferroptosis,Palbociclib,805,0.03327447518779771,0.34574491467859214,0.46977608295548484
Ferroptosis,Docetaxel,805,0.008466284136165443,0.8104536240101071,0.8598571830934519
Ferroptosis,Cisplatin,805,0.08811090732549356,0.012387482509969813,0.031884682094323706
Ferroptosis,AZD7762,805,0.03717692995497521,0.2920988820636268,0.41380674959013797
Ferroptosis,AZD6738,805,0.03353248246384249,0.3420157562365479,0.4661683281154768
Ferroptosis,Talazoparib,805,0.10824448415874176,0.0021019416365683327,0.007387112193901208
Ferroptosis,Niraparib,805,0.09860389343757915,0.005108358584370004,0.015099702118098258
Ferroptosis,Olaparib,805,0.13742000813864497,9.173812501211671e-05,0.0005198493750686614
Ferroptosis,Ribociclib,805,0.005913284555138398,0.866964410126843,0.9027791792061569
Ferroptosis,Trametinib,805,-0.13727004819927305,9.338914598225308e-05,0.0005251343516386693
Ferroptosis,Erlotinib,805,-0.06206268872949494,0.07843570708191071,0.1457261772445804
Ferroptosis,Selumetinib,805,-0.06773176792854002,0.054739120239379525,0.10903078173020826
Apoptosis,MK-1775,805,0.17553918522916448,5.394712143821325e-07,7.042026030595337e-06
Apoptosis,Paclitaxel,805,0.1689230971661735,1.435541067167611e-06,1.6925492259669738e-05
Apoptosis,Gefitinib,805,0.028764267069933687,0.4150635676289659,0.5278382084996083
Apoptosis,Gemcitabine,805,0.21094725960230135,1.5039211869244385e-09,4.046953343565e-08
Apoptosis,5-Fluorouracil,805,0.13031714261330554,0.00020931411484155691,0.0011007814240948065
Apoptosis,Palbociclib,805,0.12982945725859624,0.0002211814039477848,0.0011228028214293798
Apoptosis,Docetaxel,805,0.15171801867769574,1.5393392884727325e-05,0.00011482214488505791
Apoptosis,Cisplatin,805,0.23985667887616766,5.36110989398465e-12,3.014593332694446e-10
Apoptosis,AZD7762,805,0.1556415094817054,9.158591904917466e-06,7.87638903822902e-05
Apoptosis,AZD6738,805,0.16413178623934102,2.8495116631646137e-06,2.9757043225333323e-05
Apoptosis,Talazoparib,805,0.23420004458081953,1.7164193732605356e-11,8.364683745689677e-10
Apoptosis,Niraparib,805,0.20797902355123263,2.569471886056531e-09,6.26094649569108e-08
Apoptosis,Olaparib,805,0.20479112689868167,4.527539198678297e-09,1.0342597356980736e-07
Apoptosis,Ribociclib,805,0.08302434623424346,0.018472005870873484,0.04412756958041999
Apoptosis,Trametinib,805,-0.13957932544941398,7.081514876285785e-05,0.0004076053050838511
Apoptosis,Erlotinib,805,0.021529085304178977,0.5418909804285208,0.6409746062997552
Apoptosis,Selumetinib,805,-0.08363331838871392,0.017627074964537293,0.04252604554150747
